ticker,event_type,date_et,start_time_et,youtube_url
SPY,FOMC Press Conference,2023-05-03,14:30:00,https://www.youtube.com/watch?v=ifqyTQ0Ifrw
QQQ,FOMC Press Conference,2023-05-03,14:30:00,https://www.youtube.com/watch?v=ifqyTQ0Ifrw
DIA,FOMC Press Conference,2023-05-03,14:30:00,https://www.youtube.com/watch?v=ifqyTQ0Ifrw
SPY,FOMC Press Conference,2023-03-22,14:30:00,https://www.youtube.com/watch?v=y3dt5ZyL2OU
QQQ,FOMC Press Conference,2023-03-22,14:30:00,https://www.youtube.com/watch?v=y3dt5ZyL2OU
DIA,FOMC Press Conference,2023-03-22,14:30:00,https://www.youtube.com/watch?v=y3dt5ZyL2OU
SPY,FOMC Press Conference,2023-02-01,14:30:00,https://www.youtube.com/watch?v=3Iv4aCN0OOo
QQQ,FOMC Press Conference,2023-02-01,14:30:00,https://www.youtube.com/watch?v=3Iv4aCN0OOo
DIA,FOMC Press Conference,2023-02-01,14:30:00,https://www.youtube.com/watch?v=3Iv4aCN0OOo
SPY,FOMC Press Conference,2022-12-14,14:30:00,https://www.youtube.com/watch?v=Q8FmkU6-fAM
QQQ,FOMC Press Conference,2022-12-14,14:30:00,https://www.youtube.com/watch?v=Q8FmkU6-fAM
DIA,FOMC Press Conference,2022-12-14,14:30:00,https://www.youtube.com/watch?v=Q8FmkU6-fAM
SPY,FOMC Press Conference,2022-11-02,14:30:00,https://www.youtube.com/watch?v=CUx1RNvZ8z0
QQQ,FOMC Press Conference,2022-11-02,14:30:00,https://www.youtube.com/watch?v=CUx1RNvZ8z0
DIA,FOMC Press Conference,2022-11-02,14:30:00,https://www.youtube.com/watch?v=CUx1RNvZ8z0
SPY,FOMC Press Conference,2022-09-21,14:30:00,https://www.youtube.com/watch?v=durR-4fCG2g
QQQ,FOMC Press Conference,2022-09-21,14:30:00,https://www.youtube.com/watch?v=durR-4fCG2g
DIA,FOMC Press Conference,2022-09-21,14:30:00,https://www.youtube.com/watch?v=durR-4fCG2g
SPY,FOMC Press Conference,2022-07-27,14:30:00,https://www.youtube.com/watch?v=H-dV2VUNh4E
QQQ,FOMC Press Conference,2022-07-27,14:30:00,https://www.youtube.com/watch?v=H-dV2VUNh4E
DIA,FOMC Press Conference,2022-07-27,14:30:00,https://www.youtube.com/watch?v=H-dV2VUNh4E
SPY,FOMC Press Conference,2022-06-15,14:30:00,https://www.youtube.com/watch?v=jIK9UogQBjE
QQQ,FOMC Press Conference,2022-06-15,14:30:00,https://www.youtube.com/watch?v=jIK9UogQBjE
DIA,FOMC Press Conference,2022-06-15,14:30:00,https://www.youtube.com/watch?v=jIK9UogQBjE
SPY,FOMC Press Conference,2022-05-04,14:30:00,https://www.youtube.com/watch?v=dkdZi4-FX0w
QQQ,FOMC Press Conference,2022-05-04,14:30:00,https://www.youtube.com/watch?v=dkdZi4-FX0w
DIA,FOMC Press Conference,2022-05-04,14:30:00,https://www.youtube.com/watch?v=dkdZi4-FX0w
SPY,FOMC Press Conference,2022-03-16,14:30:00,https://www.youtube.com/watch?v=NjWIIjrx7R4
QQQ,FOMC Press Conference,2022-03-16,14:30:00,https://www.youtube.com/watch?v=NjWIIjrx7R4
DIA,FOMC Press Conference,2022-03-16,14:30:00,https://www.youtube.com/watch?v=NjWIIjrx7R4
SPY,FOMC Press Conference,2022-01-26,14:30:00,https://www.youtube.com/watch?v=sX85IhCIhuE
QQQ,FOMC Press Conference,2022-01-26,14:30:00,https://www.youtube.com/watch?v=sX85IhCIhuE
DIA,FOMC Press Conference,2022-01-26,14:30:00,https://www.youtube.com/watch?v=sX85IhCIhuE
